id,严重程度,问题标签,问题产品,答案产品,答案长度,PIC数量,图片数量,question,answer_start
33,正常,,,,111,0,0,"""家支持7天无理由退货吗？"", / ""需要满足什么条件？""",您好，符合条件的商品支持7天无理由退换货，您可以在订单售后入口提交申请并按页面提示寄回。 / 您好，7天无理由退换货一般要求商品不影响二次销售，配件、赠品、包装和发票等尽量完整；特殊品类或已明显使用、损坏的商品可能会影响审核。
34,正常,,,,99,0,0,"""我购买的商品，收到后发现少发了一件，怎么办？"", / ""什么时候能补寄？需要我承担运费吗？""",您好，若收到商品少件，请先保留外包装、快递面单和商品清点照片，并提供订单号，我们会核对出库重量和打包记录。 / 您好，确认少发后会尽快补寄缺少商品或配件；责任在商家或物流方时，通常不需要您承担补寄运费。
35,正常,,,,88,0,0,"""想换成其他款式，能换货吗？""",您好，如商品支持换货且不影响二次销售，可以申请更换尺寸、颜色或款式。若新旧商品存在差价，需要按页面价格多退少补；非质量原因产生的寄回运费通常由买家承担，具体以售后审核结果为准。
36,正常,,,,140,0,0,"""请问商品的生产日期是什么时候？""",您好，若收到商品存在临期、过期、生产日期异常、包装破损或受潮等情况，请先停止使用并保留商品、外包装、批次/生产日期照片和订单信息。如页面未明确标注临期或商品影响正常使用，经核实后可按规则申请退货退款、换货或补偿；若已食用后出现不适，建议及时就医并保留诊断凭证，我们会协助升级处理。
37,正常,,,,150,0,0,"""请问你们的商品能提供上门安装服务吗？""",您好，请您先保留安装或检修记录、收费凭证、现场照片/视频和订单信息。若页面承诺免费安装，安装人员额外收费应先核实收费项目是否为必要增项；如存在违规收费、操作不规范或造成商品损坏，我们会协助您申请退还不合理费用、免费检修、维修换货或升级投诉。大型设备需返仓维修时，也会确认运输责任、包装保护和预计时效。
38,正常,,,,99,0,0,"""请问你们的商品能提供试用装吗？""",您好，试用装或试用服务需要以商品页面和活动规则为准。若试用期间出现非人为故障，请保留订单、故障照片或视频并及时联系客服，我们会核实是否可更换、维修或提前结束试用；试用期限是否可延长需按活动规则确认。
39,正常,,,,122,0,0,"""我购买的商品，使用一段时间后出现质量问题，还能售后吗？""",您好，售后维修服务通常覆盖商品在质保期内因非人为原因产生的性能故障。若属于人为损坏、进水、摔坏、私自拆修或超出质保期，也可以申请检测和维修，但可能需要根据检测结果收取配件费、人工费和往返运费。请提供订单号、故障描述和图片或视频，我们会协助安排。
40,正常,,,,94,0,0,"""我想给商品更换成更大的尺寸，能换吗？"", / ""尺寸差价怎么处理？""",您好，如商品支持换货且不影响二次销售，可以申请更换尺寸、颜色或款式，具体以售后审核结果为准。 / 您好，若新旧商品存在差价，通常需要按页面价格多退少补；非质量原因产生的寄回运费一般由买家承担。
41,正常,,,,98,0,0,"""快递丢失了，怎么办？""， / ""这种情况你们会怎么赔偿？多久能解决？""",您好，若快递疑似丢失，请提供订单号和物流单号，我们会联系快递核查签收轨迹、派送记录和责任原因。 / 您好，确认丢件后，会按商品情况安排补发、退款或赔付；处理时效取决于快递核查结果，我们会持续同步进度。
42,正常,,,,118,0,0,"""我购买的商品，想申请退款，但是已经使用过了，能退吗？""",您好，商品已经使用后是否能退款，需要结合商品状态和问题原因判断。若属于质量问题、描述不符或功能异常，请提供问题照片/视频和订单信息，经核实后可申请维修、换货或退货退款；若仅因个人原因退款，且商品已影响二次销售，可能无法按无理由退货处理。
43,正常,,,,77,0,0,"""我购买的商品，快递送达时，我不在家，怎么办？""",您好，若快递送达时您不在家，可以先联系快递员协商改约派送、暂放驿站/柜机或更改收货安排。如物流显示异常或包裹被退回，请提供订单号，我们会协助联系快递处理。
44,正常,,,,117,0,0,"""请问你们的优惠券能用于所有商品吗？""",您好，优惠券是否可用于所有商品，需要以券面规则和下单页展示为准。常见限制包括适用品类、指定商品、满减门槛、有效期、不可叠加或特价商品不可用等。建议您在结算页查看是否自动抵扣；如符合条件但无法使用，请提供券码和订单截图，我们会帮您核实。
45,正常,,,,110,0,0,"""请问你们的商品能提供终身维修服务吗？""",您好，商品是否提供终身维修需要以商品页面、保修卡或服务协议为准。通常质保期内非人为质量问题可免费维修；超出质保期或人为损坏也可申请检测维修，但可能产生配件费、人工费和运费。请提供订单号和商品型号，我们会帮您核实具体权益。
46,正常,,,,140,0,0,"""我上个月购买的家电，使用不到一个月就出现故障，联系售后寄回维修，现在已经维修15天了，还没收到，而且我发现商品是翻新机，并非全新，要求退货退款并赔偿，请问该怎么处理？""",您好，这种情况建议升级售后处理。请提供订单号、维修单号、商品故障照片/视频、送修记录以及您认为商品为翻新机的凭证。若核实为非全新商品、质量问题或维修超出承诺时效，我们会协助申请退货退款、换货、继续免费维修、合理补偿或投诉升级；维修期间产生的进度和责任认定，也会由售后专员继续跟进。
47,正常,,,,164,0,0,"""我在你们平台批量购买了100件商品用于企业采购，收到货后发现有20件存在质量问题，15件少发，而且发票开错了抬头，需要重新开具，同时想申请质量问题商品的换货和少发商品的补寄，请问流程是什么？"",",您好，批量采购订单建议分事项处理：请先提供订单号、收货清单、少发数量、质量问题商品照片/视频和当前发票信息。我们会核对出库与物流记录，确认少发后安排补寄且不由您承担补寄运费；对存在质量问题的商品，可按规则办理换货、维修或退货退款；发票抬头开错的，可按平台流程申请作废重开或红冲后重开。多个问题会合并建单跟进，并同步预计处理时效。
48,正常,,,,150,0,0,"""我购买的食品类商品，收到后发现生产日期临近过期，而且包装破损，部分商品受潮无法食用，我要求退货退款并赔偿，同时担心食用了受潮商品影响健康，请问能提供相关保障吗？""",您好，食品类商品出现临期未标注、包装破损或受潮时，请先停止食用并保留商品、外包装、生产日期/批次照片和订单信息。我们会优先核实商品页面标注、仓储运输和批次情况；确认影响正常食用或页面未明确提示的，可协助退货退款、换货或申请合理补偿。若食用后身体不适，请及时就医并保留诊断凭证，我们会为您升级售后处理。
49,正常,,,,120,0,0,"""我购买的商品包装破损，商品出现损坏，而且快递员拒绝承认是运输问题，同时我已经签收商品，请问还能申请售后吗？""",您好，即使已经签收，也可以申请售后核实。请尽快拍摄外包装、快递面单、破损位置、商品损坏情况和开箱后状态，并保留全部包装材料。我们会结合物流记录和您提供的凭证判断责任；确认运输破损或商品损坏后，可为您安排补发、换货、维修、退货退款或相应赔付。
50,正常,,,,150,0,0,"""我购买的大家电需要上门安装，但是安装人员上门后说需要额外收取配件费，而且安装服务原本应该是免费的，同时安装人员操作不规范，导致家电出现轻微损坏，请问该怎么处理？""",您好，请您先保留安装或检修记录、收费凭证、现场照片/视频和订单信息。若页面承诺免费安装，安装人员额外收费应先核实收费项目是否为必要增项；如存在违规收费、操作不规范或造成商品损坏，我们会协助您申请退还不合理费用、免费检修、维修换货或升级投诉。大型设备需返仓维修时，也会确认运输责任、包装保护和预计时效。
51,正常,,,,128,0,0,"""我购买的商品在质保期内出现质量问题，寄回维修后，维修人员说需要更换配件，而且要收取配件费，但是质保期内应该免费维修，同时维修时间已经超过承诺的7天，请问该怎么处理？"",",您好，维修时间已明显影响您的使用体验，建议升级催办。请提供订单号、维修单号、送修时间、检测结论和客服沟通记录。我们会核实是否超过承诺时效及是否属于质保范围；如确认为非人为质量问题或售后超时，会协助继续免费维修、换货、退货退款、退还不合理费用或申请合理补偿。
52,正常,,,,150,0,0,"""我购买的大型设备需要上门检修，但是检修人员上门后说设备故障无法现场修复，需要拉回仓库维修，而且维修时间不确定，同时我担心设备拉回过程中出现损坏，请问该怎么处理？""",您好，请您先保留安装或检修记录、收费凭证、现场照片/视频和订单信息。若页面承诺免费安装，安装人员额外收费应先核实收费项目是否为必要增项；如存在违规收费、操作不规范或造成商品损坏，我们会协助您申请退还不合理费用、免费检修、维修换货或升级投诉。大型设备需返仓维修时，也会确认运输责任、包装保护和预计时效。
53,正常,,,,99,0,0,"""我想试用商品，但是试用期间商品出现故障，而且不是人为操作导致的，同时我想延长试用期限，请问可以吗？另外故障商品能更换吗？""",您好，试用装或试用服务需要以商品页面和活动规则为准。若试用期间出现非人为故障，请保留订单、故障照片或视频并及时联系客服，我们会核实是否可更换、维修或提前结束试用；试用期限是否可延长需按活动规则确认。
54,正常,,,,150,0,0,"""我购买的商品，收到后发现是临期商品（还有15天过期），但下单时页面未标注临期，而且商品包装上也没有临期提示，我要求退货退款并赔偿，请问可以吗？""",您好，食品类商品出现临期未标注、包装破损或受潮时，请先停止食用并保留商品、外包装、生产日期/批次照片和订单信息。我们会优先核实商品页面标注、仓储运输和批次情况；确认影响正常食用或页面未明确提示的，可协助退货退款、换货或申请合理补偿。若食用后身体不适，请及时就医并保留诊断凭证，我们会为您升级售后处理。
55,正常,,,,131,0,0,"""我购买的商品，收到后发现商品的颜色和详情页描述的不一致，详情页是深红色，实际收到的是浅红色，而且商品有轻微的异味，想申请换货""",您好，商品颜色与详情页明显不一致或伴随异味时，可以申请售后核实。请您提供订单号、商品实拍图/视频、详情页颜色描述截图和外包装照片。若确认属于描述不符、批次异常或质量问题，我们会协助办理换货、退货退款或补偿；若只是轻微色差，也会结合页面说明和商品状态给出处理方案。
57,正常,,,,120,0,0,"""我购买的商品，快递寄到后，我拆开包装发现商品损坏，但是快递员已经离开，没有当场验货，请问还能申请售后吗？""",您好，即使已经签收，也可以申请售后核实。请尽快拍摄外包装、快递面单、破损位置、商品损坏情况和开箱后状态，并保留全部包装材料。我们会结合物流记录和您提供的凭证判断责任；确认运输破损或商品损坏后，可为您安排补发、换货、维修、退货退款或相应赔付。
58,正常,,,,108,0,0,"""我购买的商品，使用时发现商品的功能和详情页描述的不一致，详情页说支持无线充电，实际不支持，而且商品的续航时间也比描述的短很多，要求退货退款并赔偿，请问可以吗？"",",您好，若实际功能、无线充电能力或续航表现与详情页承诺不一致，请您保留商品测试视频、详情页截图、订单信息和相关沟通记录。我们会核实商品描述与检测结果；确认描述不符或功能缺失的，可协助退货退款、换货、补偿或升级投诉处理。
64,正常,,blower,blower,114,1,1,"""使用吹风机时，人员需要佩戴哪些防护装备？""",您好，相关说明如下： / 1. 个人防护装备 使用吹风机的人员需佩戴以下防护装备： 1. 合格的听力防护装备 2. 合格的眼部防护装备。 3. 在多尘环境中操作时佩戴面罩。 4. 防滑鞋底的工作靴或工作鞋 5. 急救箱。 <PIC>
65,正常,,blower,blower,510,0,0,"""操作吹风机时，人员需要注意哪些安全要点？""",您好，相关说明如下： / 1. 其他安全措施 1. 仅在合理时段操作吹风机，即避免在清晨或深夜扰民时段使用，遵守当地法规规定时段。通常建议周一至周六上午 9:00 至下午 5:00 使用。 2. 以完成作业所需的最低油门档位操作吹风机。 3. 操作前检查吹风机状态，重点检查消音器、进气口及空气滤清器。 4. 吹扫前先用耙子或扫帚松动地面杂物。 5. 多尘环境下，若有水可用软管轻微喷洒作业区域或使用喷雾附件。 6. 草坪园艺作业中（如屋顶排水沟、纱窗、露台、花园等区域），优先使用吹风机而非软管以节约用水。 7. 留意儿童、宠物、敞开的窗户及刚清洗的车辆，安全吹扫杂物。 8. 使用全长喷管延伸件，使气流贴近地面作业。 9. 使用吹风机后，清理杂物并投入垃圾桶。 / 2. 安全装置 吹风机上以下装置用于保护人员与设备安全。操作、检查及维护吹风机时需特别关注这些部件。 / 3. 人身安全 以下说明适用于吹风机操作人员： 1. 操作人员必须阅读并理解本说明书内容。 2. 请勿穿着宽松衣物、佩戴围巾或项链，长发需束起，以免被吹风机旋转部件卷入造成伤害。 3. 饮酒、服药后或疲劳状态下请勿操作吹风机。 4. 禁
66,正常,,blower,,112,1,1,"""使用吹风机时，如何调节化油器？""",您好，相关说明如下： / 1. 化油器调节（19） 化油器设有三颗调节螺钉： 低速油针 高速油针 怠速调节螺钉 化油器调节需适配当地作业条件，如气候、海拔、汽油及二冲程发动机机油类型。 化油器调节详情见第 18 页。 <PIC>
67,正常,,blower,,105,1,1,"""吹风机冷机时，该如何启动？""",您好，相关说明如下： / 1. 冷机启动 点火：将停机开关调至启动位置 阻风门：将阻风门控制器调至阻风门位置（A），该位置同时为自动启动油门位置。 泵油：反复按压泵油膜片直至燃油充满膜片，无需完全充满。 <PIC>
68,正常,,blower,,275,3,3,"""吹风机热机时，该如何启动？""",您好，相关说明如下： / 1. 热机启动 <PIC> 点火：将停机开关调至启动位置 阻风门：先将阻风门控制器调至阻风门位置，再转回原位（B），仅启用启动油门，不使用阻风门。 泵油：反复按压泵油膜片直至燃油充满膜片，无需完全充满。 <PIC> 左手将设备机身按压在地面（注意！切勿用脚踩压）。右手握紧启动手柄，缓慢拉动启动绳至感受到阻力（启动钩啮合），然后快速用力拉动。 发动机点火后立即按下阻风门控制器，重复操作直至发动机启动。发动机启动后迅速全开油门，启动油门自动解除。 注意！切勿完全拉出启动绳，切勿在启动绳完全拉出时松手，以免损坏设备。 <PIC>
69,正常,,blower,blower,267,0,0,"""该如何关闭吹风机？""",您好，相关说明如下： / 1. 安装集尘袋及各类吸尘管 警告！安装管道至吹风机时，必须关闭发动机且停机开关处于停机位置。 1. 打开集尘袋，将集尘袋接管从袋内穿入，按图示安装至集尘袋吸尘入口，拉上集尘袋拉链。 2. 将集尘袋接管对准吹风机，旋转 1/4 圈直至听到咔嗒声。集尘袋覆盖的管道段出口需朝下，将背带挂至 harness 挂环。 3. 用螺丝刀松开方形开口内的锁片，打开吹风机底部检修盖。 4. 将吸尘管对准吹风机底部大开口，旋转 45 度直至卡口锁紧。 5. 按图示将下段吸尘管对接至上段吸尘管。 6. 按单独说明安装辅助手柄。
70,正常,,air_conditioner,,43,1,1,"""空调的重要组成部件有哪些？""",您好，相关说明如下： / 1. 部件介绍 / 室内机 / <PIC> / * 功能会根据机型有所调整。
71,正常,,air_conditioner,air_conditioner,53,0,0,"""如何找到空调遥控器的按键？""",您好，相关说明如下： / 1. 遥控器的使用 / 使用遥控器可更便捷地操作空调，附加功能的按键位于遥控器盖板下方。
72,正常,,air_conditioner,,98,2,2,"""如何给空调遥控器安装电池？""",您好，相关说明如下： / 1. 安装电池 / 使用遥控器前，请先安装电池，适用电池型号为 7 号。1 取下电池盖。 / <PIC> / 2 装入新电池，确保电池正、负极安装正确。 / <PIC> / 3 重新装上电池盖。
73,正常,,air_conditioner,,105,2,2,"""如何安装空调遥控器支架？""",您好，相关说明如下： / 1. 安装遥控器支架 / 将支架安装在无阳光直射的位置，以保护遥控器。 / 1 选择安全且便于取用的位置。 / 2 用螺丝刀将两颗螺丝拧紧，固定支架。 / <PIC> / 3 将遥控器滑入支架中。 / <PIC>
74,正常,,air_conditioner,air_conditioner,169,1,1,"""如何用空调快速调节室内温度？""",您好，相关说明如下： / 1. 快速调节室内温度 / （极速制冷 / 制热模式） / 该模式可在夏季快速冷却室内空气，或在冬季快速提升室内温度。 / 1 按下开 / 关键开启电源。 / 2 按下极速键。 / <PIC> / - 极速制冷模式下，空调将以 18 摄氏度的温度强风出风 30 分钟。 / - 极速制热模式下，空调将以 30 摄氏度的温度强风出风 30 分钟。
75,正常,,air_conditioner,,235,2,2,"""如何使用空调的自清洁运行功能？""",您好，相关说明如下： / 1. 自清洁运行 / 制冷和除湿运行时，室内机内部会产生水汽，可使用自清洁功能去除水汽。 / 1 按下自清洁键，显示屏上会显示自清洁标识。 / <PIC> / - 若关闭电源，风扇将继续运行 30 分钟，对室内机内部进行清洁。 / 2. 注 / 自清洁功能运行时，部分按键无法使用。 / 3. 等离子净化运行 / 本产品搭载的等离子滤网可彻底去除吸入空气中的微小污染物，输送洁净清新的空气。 / 1 按下开 / 关键开启电源。 / 2 按下等离子键，显示屏上会显示等离子标识。 / <PIC>
76,正常,,air_conditioner,air_conditioner,77,0,0,"""如何使用空调的等离子净化功能？""",您好，相关说明如下： / 1. 注 / 无需开启空调，直接按下等离子键即可使用该功能。 / 等离子净化功能运行时，等离子灯和制冷灯将同时亮起。 / 部分机型不支持此功能。
77,正常,,air_conditioner,,124,1,1,"""单冷型空调如何开启自动运行模式？""",您好，相关说明如下： / 1. 单冷型机型 / 此模式下，风扇转速和温度会根据室内温度自动调节。 / 1 按下开 / 关键开启电源。 / 2 反复按下模式键，选择自动运行模式。 / 3 若当前温度高于或低于所需温度，按下上升 / 下降键选择所需的运行代码。 / <PIC>
78,正常,,air_conditioner,,185,1,1,"""如何使用空调的自动转换运行功能？""",您好，相关说明如下： / 1. 自动转换运行 / 该模式会自动切换运行模式，将设定温度的波动控制在 2 摄氏度以内。 / 1 按下开 / 关键开启电源。 / 2 反复按下模式键，选择自动转换运行模式，显示屏上会显示对应标识。 / <PIC> / 3 按下上升 / 下降键设置所需温度，温度调节范围为 18 摄氏度（64 华氏度）-30 摄氏度（86 华氏度）。 / 4 反复按下风速键选择风扇转速。
79,正常,,air_conditioner,,125,1,1,"""如何开启空调的节能制冷模式？""",您好，相关说明如下： / 1. 节能制冷模式 / 该模式可最大限度降低制冷时的耗电量，并将设定温度调节至最适宜的水平，打造更舒适的环境。 / 1 按下开 / 关键开启电源。 / 2 反复按下模式键，选择制冷模式。 / 3 按下节能键，显示屏上会显示节能标识。 / <PIC>
80,正常,,air_conditioner,air_conditioner,202,3,3,"""无遥控器时如何操作空调？""",您好，相关说明如下： / 1. 无遥控器操作空调 / 遥控器无法使用时，可通过室内机的开 / 关键操作空调，此时风扇转速默认设为高速。 / 1 打开前盖板，轻轻掀起盖板两侧即可。 / <PIC> / * 功能会根据机型有所调整。 / 2 按下开 / 关键。 / <PIC> / * 功能会根据机型有所调整。 / - 冷暖型机型的运行模式会根据室内温度自动切换。 / <PIC> / - 单冷型机型的温度将默认设为 22 摄氏度（71.6 华氏度）。
81,正常,,air_conditioner,air_conditioner,221,2,2,"""如何让空调实现自动重启？""",您好，相关说明如下： / 1. 空调自动重启 / 停电后再次开启空调时，该功能可恢复之前的运行设置，此功能为工厂默认设置。 / 2. 关闭自动重启功能 / 1 打开前盖板，轻轻掀起盖板两侧即可。 / <PIC> / * 功能会根据机型有所调整。 / 2 按住开 / 关键 6 秒钟，设备会发出两声蜂鸣，指示灯闪烁 6 次。 / <PIC> / * 功能会根据机型有所调整。 / - 如需重新开启该功能，再次按住开 / 关键 6 秒钟即可，设备会发出两声蜂鸣，蓝色指示灯闪烁 4 次。
82,正常,,air_conditioner,air_conditioner,746,2,2,"""不同型号空调的清洁频率是多少？""",您好，相关说明如下： / 1. 操作须知 / 切勿让空调的冷风吹或热风吹向人、动物或植物，否则可能导致严重受伤。 / 切勿将本产品用于特殊用途，如食品保鲜、艺术品保存等，本产品为家用空调，非精密制冷设备，违规使用可能导致死亡、火灾或触电。 / 切勿堵塞进风口或出风口，否则可能导致爆炸或产品故障。 / 清洁空调时，切勿使用强力清洁剂、溶剂或直接喷水，需使用软布擦拭，否则可能导致严重受伤或产品故障。 / 拆卸空气滤网时，切勿触摸空调的金属部件，否则可能导致严重受伤或产品故障。 / 切勿在空调上放置任何物品，否则可能导致产品故障。 / 滤网清洁后，务必牢固安装，每两周清洁一次滤网，必要时可增加清洁频率。 / 空调运行时，切勿将手或其他物品伸入进风口或出风口，否则可能导致触电。 / 切勿饮用空调排出的水，否则可能导致严重的健康问题。 / 在高处清洁、保养或维修空调时，使用稳固的凳子或梯子，否则可能导致严重受伤或产品故障。 / 给遥控器装电池时，切勿将不同型号电池混用，也切勿将新电池与旧电池混用，否则可能导致产品故障。 / 切勿对电池充电或拆解电池，否则可能导致爆炸、火灾或严重受伤。 / 若遥控器电池漏液，立即停止使用，若衣物或皮肤接触到漏液，用清水
